,history,response,speaker,knowledge_base,dialogue_id,corrupted_response,corrupt_entity,original_entity,hallucination_tags,corrupt_relation,corrupt_history
2547,"['Do you know Simona Halep ?', ""Yes I do , I 'm a huge tennis fan , but I prefer the Williams sisters .""]",Okay Venus and Serena .   I have n't heard much from Venus does she still play ?,user,"{'paths': [['Tennis', '~Sport played', 'Venus Williams']], 'render': 'Tennis : `~Sport played`: Venus Williams'}",5506,okay rafael nadal and goodfellas .   i have n't heard much from rafael nadal does she still play ?,"['Rafael Nadal', 'Goodfellas']","['Venus', 'Serena']","['O', 'B-HALLUC', 'L-HALLUC', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
6128,['Do you know other movies like 2012 ?'],2012 was written by Roland Emmerich and Harald Kloser and directed by Emmerich . Do you his movies or are you interested in something in the same genre ?,assistant,"{'paths': [['2012', 'written_by', 'Roland Emmerich']], 'render': '2012 is written by Roland Emmerich'}",4929,2012 was written by independence day (action/adventure film) and harald kloser and directed by emmerich . do you his movies or are you interested in something in the same genre ?,['Independence Day (Action/Adventure Film)'],['Roland Emmerich'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Film Executive Produced'],
1114,"['What did you think of the book The Lord of the Rings ?', 'I love the book , I really love anything by J.R.R.Tolkien or high fantasy novels .   How about you ?', ""Yes , I do like the genre . I just read Wizard 's First Rule . Do you know it ?""]","Oh yes !   The book written by Terry Goodkind ?   I wonder what year that came out , do you know ?",assistant,"{'paths': [[""Wizard's First Rule"", 'written_by', 'Terry Goodkind']], 'render': ""Wizard's First Rule is written by Terry Goodkind""}",5325,"oh yes !   the book written by david mitchell ?   i wonder what year that came out , do you know ?",['David Mitchell'],['Terry Goodkind'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['written_by'],"['What did you think of the book The Lord of the Rings ?', 'I love the book , I really love anything by J.R.R.Tolkien or high fantasy novels .   How about you ?', ""Yes , I do like the genre . I just read Wizard 's First Rule . Do you know it ?""]"
13423,"['Do you know about the actress Kate Winslet ?', 'yes she starred in a lot of movies , but is probably best known for her role in titanic . did you watch the film ?', 'i did ! a long time ago .   i know james cameron wrote it .   can you tell me more about him ?']",Sure James Caremon produced the blockbuster hit True Lies as well as Avatar,assistant,"{'paths': [['James Cameron', '~Produced by', 'True Lies'], ['True Lies', 'has_genre', 'Blockbuster']], 'render': 'James Cameron produced True Lies. True Lies has genre Blockbuster'}",6588,sure jurassic park produced the blockbuster hit super bowls as well as nick perri,"['Nick Perri', 'Jurassic Park', 'Super Bowls']","['True Lies', 'Avatar', 'James Caremon']","['O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC']",,"['Do you know about the actress Kate Winslet ?', 'yes she starred in a lot of movies , but is probably best known for her role in titanic . did you watch the film ?', 'i did ! a long time ago .   i know james cameron wrote it .   can you tell me more about him ?']"
11949,['could you kindly recommend some books by j.m. barrie ?'],"You may like Peter Pan , it was released in 1904",assistant,"{'paths': [['J.M. Barrie', '~written_by', 'Peter Pan']], 'render': 'J.M. Barrie wrote Peter Pan'}",4332,"you may like last year , it was released in arthur conan doyle","['last year', 'Arthur Conan Doyle']","['1904', 'Peter Pan']","['O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC']",['written_by'],['could you kindly recommend some books by j.m. barrie ?']
11781,['I like actor James Franco . Could you recommend films that he stars in .'],"Sure ! He was in Palo Alto , Your Highness and Whatever It Takes .",assistant,"{'paths': [['James Franco', '~starred_actors', 'Palo Alto'], ['Palo Alto', 'has_genre', 'Drama']], 'render': 'James Franco starred in Palo Alto. Palo Alto has genre Drama'}",5337,"sure ! he was in west coast of the united states , your highness and whatever it takes .",['West Coast of the United States'],['Palo Alto'],"['O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Place of birth'],['I like actor James Franco . Could you recommend films that he stars in .']
5301,['I love Lady Gaga . Do you recommend any songs from her ?'],"Yeah , she wrote lyrics to Speechless and Marry the Night and those are cool .",assistant,"{'paths': [['Lady Gaga', '~Lyricist', 'Marry the Night']], 'render': 'Lady Gaga : `~Lyricist`: Marry the Night'}",4343,"yeah , she wrote lyrics to speechless and english language and those are cool .",['English Language'],['Marry the Night'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O']",['in_language'],
4482,"['Can you recommend any good books by Yann Martel ?', ""Yann Martel 's most known work is Life of Pi , have you read it ?"", ""I actually have n't . What genre is that ?"", 'Life of Pi is an adventure Fiction . Do you enjoy Fiction ?', ""I do ! That 's my favorite .""]","There are so many great Fiction novels , Wuthering Heights and Wolf Brother are good .",assistant,"{'paths': [['Fiction', '~has_genre', 'Wuthering Heights']], 'render': 'Fiction has examples: Wuthering Heights'}",4790,"there are so many great fiction novels , film and arsenal football club brother are good .","['Arsenal Football Club', 'Film']","['Wuthering Heights', 'Wolf']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O']",,
7593,"['Do you like the Seattle Seahawks ?', ""They 're good . Pete Carroll is a good coach . What do you think ?""]",Yes he is . He has also coached for the New York Jets and New England Patriots .,user,"{'paths': [['Pete Carroll', 'Coaching history', 'New York Jets']], 'render': 'Pete Carroll : `Coaching history`: New York Jets'}",4754,yes he is . he has also coached for the ahmad carroll and new england patriots .,['Ahmad Carroll'],['New York Jets'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O']",['Game'],
4594,"['I think Wayne Rooney is great . what you think about him ?', 'I agree , he is an excellent football , soccer player from England .', 'yes . He play for the England national football team and their coach name is Fabio Capello .']","That is true , did you know Fabrio Capello used to play for Italy as a",assistant,"{'paths': [['Fabio Capello', '~Player statistics', 'Italy national football team'], ['Italy national football team', 'Player statistics', 'Mario Balotelli']], 'render': 'Fabio Capello : `~Player statistics`: Italy national football team. Italy national football team : `Player statistics`: Mario Balotelli'}",4859,"that is true , did you know spanish used to play for the green mile as a","['Spanish', 'The Green Mile']","['Fabrio Capello', 'Italy']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O']",,
21681,"['Could you recommend more books like Little Women ?', ""Some would say there are no books comparable to Louisa May Alcott 's Little Women . Her other books Little Men or Life at Plumfield with Jo 's Boys might interest you ."", ""I 've heard she is very talented . A frind recommend me to read Rose in Bloom .   do you know what genre is this book ?""]",Your friend has great taste . Rose in Bloom is Fiction work that was released in 1876 by Ms. Alcott . Do you enjoy classics ?  ,assistant,"{'paths': [['Rose in Bloom', 'has_genre', 'Fiction']], 'render': 'Rose in Bloom has genre Fiction'}",4321,your friend has great taste . rose in bloom is fiction work that was released in 1876 by ms. alcott . do you enjoy classics ?  ,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['has_genre'],
11414,"['I like Sin City', 'Do you like it because Robert Rodriguez stars in it ?', 'What genre is it', 'Sin city is an Indie film   similar to Gentlemen Broncos and Good Dick .', 'Who is starring in Gentlemen Broncos']",Mike White and Clive Revill starred in Gentlemen Broncos . Have you seen it ?,assistant,"{'paths': [['Mike White', '~starred_actors', 'Gentlemen Broncos'], ['Gentlemen Broncos', 'has_genre', 'Indie film']], 'render': 'Mike White starred in Gentlemen Broncos. Gentlemen Broncos has genre Indie film'}",5081,mike white and clive revill starred in jared hess . have you seen it ?,['Jared Hess'],['Gentlemen Broncos'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['is-a'],"['I like Sin City', 'Do you like it because Robert Rodriguez stars in it ?', 'What genre is it', 'Sin city is an Indie film   similar to Gentlemen Broncos and Good Dick .', 'Who is starring in Gentlemen Broncos']"
11366,['I like John Woo films . Can you recommend a movie by him ?'],"He directed Red Cliff , Windtalkers , and Reign of Assassins .  ",assistant,"{'paths': [['John Woo', '~written_by', 'Red Cliff'], ['Red Cliff', 'has_genre', 'Standard Chinese']], 'render': 'John Woo wrote Red Cliff. Red Cliff has genre Standard Chinese'}",5049,"he directed kwong-tim yip , windtalkers , and reign of assassins .  ",['Kwong-Tim Yip'],['Red Cliff'],"['O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Sequel'],['I like John Woo films . Can you recommend a movie by him ?']
23007,"['Do you have any informations about Where She Went book ?', 'Yes . Its written by Gayle Forman and is part of a series', 'Great I like Gayle Forman books and look forward to the series , Do you know if she wrote Just One Year ?']",She sure did .,assistant,"{'paths': [['Where She Went', 'written_by', 'Gayle Forman'], ['Gayle Forman', '~written_by', 'Just One Year']], 'render': 'Where She Went is written by Gayle Forman. Gayle Forman wrote Just One Year'}",4294,she sure did .,[],[],"['O', 'O', 'O', 'O']",[],"['Do you have any informations about Where She Went book ?', 'Yes . Its written by Gayle Forman and is part of a series', 'Great I like Gayle Forman books and look forward to the series , Do you know if she wrote Just One Year ?']"
2416,"['Do you like Jeffrey DeMunn ?', 'I sure do . He starred in movies such as Turbulence , The Shawshank Redemption , The Mist and The Green Mile . Have you heard of these movies ?', 'Yes Turbulence is starring Rachel Ticotin . Do you like that movie ?', ""I do . I have n't seen that movie in years . It also starred Ray Liotta and Lauren Holly . I know Rachel Ticotin starred in The Sisterhood of the Traveling Pants"", 'Rachel Ticotin starred in Where the Day Takes You also .', 'She is an underrated actress . The first movie I saw her in was opposite Arnold Schwarzenigger in the movie Total Recall']",The Sisterhood of the Traveling Pants ( Coming of age Film ) is starring Nancy Travis,user,"{'paths': [['The Sisterhood of the Traveling Pants (Coming of age Film)', 'starred_actors', 'Nancy Travis']], 'render': 'The Sisterhood of the Traveling Pants (Coming of age Film) is starring Nancy Travis'}",5264,scott glenn ) is starring the genre of run lola run,"['Scott Glenn', 'the Genre of Run Lola Run']","['The Sisterhood of the Traveling Pants ( Coming of age Film', 'Nancy Travis']","['B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC']",,
24568,"['do you know the dictator ? seems like a crazy movie !', ""It is something else to be sure . It 's got a triple genre of Action , Comedy , and Romance ."", 'Cool I like action movies . Have you seen Wrath of the Titans , starring Rosamund Pike and Liam Neeson ?', ""That one I have not . I do know , however , that it 's written by Steven Knight ."", 'Alright . But maybe you have seen Liam Neeson in Taken 2 or The Dark Knight Rises ?']","In The Dark Knight Rises , yes . He played an excellent part .",assistant,"{'paths': [['Liam Neeson', '~starred_actors', 'The Dark Knight Rises']], 'render': 'Liam Neeson starred in The Dark Knight Rises'}",4292,"in the dark knight rises , yes . he played an excellent part .",[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Sequel'],"['do you know the dictator ? seems like a crazy movie !', ""It is something else to be sure . It 's got a triple genre of Action , Comedy , and Romance ."", 'Cool I like action movies . Have you seen Wrath of the Titans , starring Rosamund Pike and Liam Neeson ?', ""That one I have not . I do know , however , that it 's written by Steven Knight ."", 'Alright . But maybe you have seen Liam Neeson in Taken 2 or The Dark Knight Rises ?']"
1591,"['Do you like American Psycho ?', 'Yes I do . American Psycho is written by Mary Harron . Do you like it ?', ""I do , did n't they make a movie from it ?"", 'Yes they did its starring   Reg E. Cathey', ""Is he in any other movies you 'd recommend ?"", 'American Psycho : ` Sequel ` : American Psycho 2 . American Psycho 2 is starring Lindy Booth', ""Did n't she star in Wrong Turn also ?""]",I think so . William Shatner starred in Visiting Hours Have you ever seen it ?,assistant,"{'paths': [['William Shatner', '~starred_actors', 'Visiting Hours']], 'render': 'William Shatner starred in Visiting Hours'}",5840,i think so . william shatner starred in tonight have you ever seen it ?,['tonight'],['Visiting Hours'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],"['Do you like American Psycho ?', 'Yes I do . American Psycho is written by Mary Harron . Do you like it ?', ""I do , did n't they make a movie from it ?"", 'Yes they did its starring   Reg E. Cathey', ""is he in any other movies you 'd recommend ?"", 'elizabeth george speare psycho : ` sequel ` : elizabeth george speare psycho 2 . elizabeth george speare psycho 2 is starring therese', ""Did n't she star in Wrong Turn also ?""]"
5623,"['I like Fear and Loathing in Las Vegas . Have you seen it yet ?', 'Yes i have seen it before , it was written by Hunter S. Thompson . It also stared Michael Jeter .', ""Johnny Depp was amazing in it . Was n't he ?"", 'Yes , he also starred in The pirates of the Caribbean .']",I saw that . But have you seen Mortdecai wih Johnny Depp and Olivia Munn ?,user,"{'paths': [['Mortdecai', 'starred_actors', 'Olivia Munn']], 'render': 'Mortdecai is starring Olivia Munn'}",4561,i saw that . but have you seen mortdecai wih johnny depp and i don't know how she does it ?,"[""I Don't Know How She Does It""]",['Olivia Munn'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O']",['starred_actors'],
7710,['Do you know anything about the director Robert Zemeckis ?'],Robert Zemeckis wrote The Polar Express which is an animated film .,assistant,"{'paths': [['Robert Zemeckis', '~written_by', 'The Polar Express'], ['The Polar Express', 'written_by', 'William Broyles, Jr.']], 'render': 'Robert Zemeckis wrote The Polar Express. The Polar Express is written by William Broyles, Jr.'}",4826,robert zemeckis wrote the polar express (picture book) which is an animated film .,['The Polar Express (Picture Book)'],['The Polar Express'],"['O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['Adapted From'],
4684,['Can you tell me about Orson Scott Card ?'],"He wrote Xenocide , The Memory of Earth , The Lost Gate , and the Gate Thief just to name a few . Have you read any of those ?",assistant,"{'paths': [['Orson Scott Card', '~written_by', 'The Lost Gate']], 'render': 'Orson Scott Card wrote The Lost Gate'}",4927,"he wrote xenocide , the memory of earth , tablo , and the gate thief just to name a few . have you read any of those ?",['Tablo'],['The Lost Gate'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
7247,"['do you know who wrote the sea of monsters ?', 'It was written by Rick Riordan .   Are you a fan of young adult fiction ?', 'yes I am can you recommend any']",You should check out The Lightning Thief .   It 's the next in the series .,assistant,"{'paths': [['The Sea of Monsters', '~Next in series', 'The Lightning Thief'], ['The Lightning Thief', 'written_by', 'Rick Riordan']], 'render': 'The Sea of Monsters : `~Next in series`: The Lightning Thief. The Lightning Thief is written by Rick Riordan'}",4512,you should check out percy jackson & the olympians .   it 's the next in the series .,['Percy Jackson & the Olympians'],['The Lightning Thief'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Part of series'],
471,"['Any recommendation relating to Stephanie Perkins ?', 'Stephanie Perkins wrote My True Love Gave to Me : Twelve Holiday Stories . What you think about this one ?', 'Interesting , can you give me more information on it ?', 'Yes I can .   My True Love Gave to Me : Twelve Holiday Stories was released in 2014 .', 'Did anyone else help write the book ?']",Yes . My True Love Gave to Me : Twelve Holiday Stories was also written by David Levithan,assistant,"{'paths': [['Stephanie Perkins', '~written_by', 'My True Love Gave to Me: Twelve Holiday Stories'], ['My True Love Gave to Me: Twelve Holiday Stories', 'written_by', 'David Levithan']], 'render': 'Stephanie Perkins wrote My True Love Gave to Me: Twelve Holiday Stories. My True Love Gave to Me: Twelve Holiday Stories is written by David Levithan'}",4656,yes . my true love gave to me : twelve holiday stories was also written by steven knight,['Steven Knight'],['David Levithan'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC']",['is-a'],"['any recommendation relating to stephanie perkins ?', 'maxtrix wrote my true love gave to me : twelve rainmaker . what you think about this one ?', 'Interesting , can you give me more information on it ?', 'Yes I can .   My True Love Gave to Me : Twelve Holiday Stories was released in 2014 .', 'did anyone else help write the book ?']"
3471,"['Do you have any recommendations by the author of the Hotel on the Corner of Bitter and Sweet ?', ""Oh , the author 's name is Jamie Ford . He also wrote Songs of Willow Frost ."", 'What year was Songs of Willow Frost written ?']",It was released in 2013 which happens to be the same year that Z : A Novel of Zelda Fitzgerald was released .,assistant,"{'paths': [['2013', '~release_year', 'Z: A Novel of Zelda Fitzgerald']], 'render': '2013 was the year that released Z: A Novel of Zelda Fitzgerald'}",4233,it was released in 21–0 week which happens to be million dollar baby that z : a novel of zelda fitzgerald was released .,"['Million Dollar Baby', '21–0 Week']","['2013', 'the same year']","['O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
13205,['Could you recommend a movie with stars from Tropic Thunder ?'],Do you like Justin Theroux or Robert Downey Jr. ? Tropic Thunder is quite star - studded . It also stars Tom Cruise .,assistant,"{'paths': [['Tropic Thunder', 'written_by', 'Justin Theroux']], 'render': 'Tropic Thunder is written by Justin Theroux'}",6269,do you like tribulation force or marlon brando ? shel silverstein is quite star - studded . it also stars family friendly .,"['Family Friendly', 'Shel Silverstein', 'Marlon Brando', 'Tribulation Force']","['Tom Cruise', 'Robert Downey Jr.', 'Tropic Thunder', 'Justin Theroux']","['O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['starred_actors'],['Could you recommend a movie with stars from Tropic Thunder ?']
7638,"['Can you recommend books by Harper Lee ?', ""Sure . Harper Lee wrote To Kill a Mockingbird . That 's a favorite . Other books written are Go Set a Watchman ."", 'Can you recommend other fiction books that are like To kill a Mocking bird ?']",Touching Spirit Bear which was written by Ben Mikaelsen is a fiction book . Are you into Children 's literature because that is one .,assistant,"{'paths': [['Touching Spirit Bear', 'written_by', 'Ben Mikaelsen']], 'render': 'Touching Spirit Bear is written by Ben Mikaelsen'}",4783,touching spirit bear which was written by author is a fiction book . are you into children 's literature because that is one .,['Author'],['Ben Mikaelsen'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['is-a'],
3997,['Could you recommend any Ben Stiller movie ?'],"Sure , Ben Stiller wrote and starred in Zoolander . It is a comedy film , have you heard of it ?",assistant,"{'paths': [['Ben Stiller', '~written_by', 'Zoolander'], ['Zoolander', 'has_genre', 'Comedy']], 'render': 'Ben Stiller wrote Zoolander. Zoolander has genre Comedy'}",4534,"sure , supernaturalist wrote and starred in the colorado kid . it is a comedy film , have you heard of it ?","['Supernaturalist', 'The Colorado Kid']","['Ben Stiller', 'Zoolander']","['O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
15361,"['Do you know what movies Tom Hooper directed ?', ""Yes , he directed quite a few . My personal favorites are the King 's Speech , Les Miserables , and the Damned .""]",What genre is The King 's speech ?,user,"{'paths': [[""The King's Speech"", 'starred_actors', 'Timothy Spall']], 'render': ""The King's Speech is starring Timothy Spall""}",4255,what genre is the king 's speech ?,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
8035,"['do you like Chuck Russell ?', 'He directed The Mask . Have you seen that one ?', 'Yes it is good . It stars   Reg E. Cathey . Do you like that actor ?', 'He was in What About Bob . Are you interested in that one ?', 'Yes I think bill murray was also in it ?']","Yes , you are correct . He was in Tootsie as well . You should check that out if you like Bill Murray and Reg E. Cathey .",assistant,"{'paths': [['Bill Murray', '~starred_actors', 'What About Bob?']], 'render': 'Bill Murray starred in What About Bob?'}",5088,"yes , you are correct . he was in tootsie as well . you should check that out if you like what about bob? and reg e. cathey .",['What About Bob?'],['Bill Murray'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],
10553,"['I loved Monty Python and the Holy Grail . Can you recommend something similar ?', 'That was a great movie . The Life of Brian was another Monty Python movie . Do you like John Cleese and Eric Idle ?', 'I love them . I also really like Terry Gilliam and Spike Milligan . So anything that is done by them is great .']",A Fish Called Wanda and Time Bandits are not Python movies but along the same lines .,assistant,"{'paths': [['Eric Idle', 'Episode segment', 'Michael Palin'], ['Michael Palin', '~starred_actors', 'A Fish Called Wanda']], 'render': 'Eric Idle : `Episode segment`: Michael Palin. Michael Palin starred in A Fish Called Wanda'}",4455,stephen fry and time bandits are not python movies but along the same lines .,['Stephen Fry'],['A Fish Called Wanda'],"['B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],"['I loved Monty Python and the Holy Grail . Can you recommend something similar ?', 'That was a great movie . The Life of Brian was another Monty Python movie . Do you like John Cleese and Eric Idle ?', 'I love them . I also really like Terry Gilliam and Spike Milligan . So anything that is done by them is great .']"
332,"['Could you recommend films directed by Tom Hooper', ""Tom Hooper directed The King 's Speech and The Damned United . Did you know he is a screenwriter and film producer ?"", 'No , I did not .   I really like the Kings Speech .   What was that rated ?']",The Kings Speech is rated R ( USA ) like the Zero Effect .,assistant,"{'paths': [['R (USA)', '~Rated', 'Zero Effect']], 'render': 'R (USA) : `~Rated`: Zero Effect'}",4509,the kings speech is rated r ( usa ) like the seven .,['Seven'],['Zero Effect'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O']",['release_year'],"['could you recommend films directed by tom hooper', ""words directed the king 's speech and ron rifkin . did you know he is a screenwriter and film producer ?"", 'no , i did not .   i really like the kings speech .   what was that rated ?']"
7752,"['Do you know Toni Morrison ?', 'Toni Morrison wrote the book turned Movie Beloved .']","What kind of book is Beloved ? If i remember it correctly , it 's Fiction ?",user,"{'paths': [['Beloved', 'has_genre', 'Fiction']], 'render': 'Beloved has genre Fiction'}",4861,"what kind of book is beloved ? if i remember it correctly , it 's crime fiction ?",['Crime Fiction'],['Fiction'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['Parent genre'],
9135,['Do you know Anil Kapoor ?'],He is a famous Bollywood actor and has starred in movies like Yuvvraaj and Welcome .,assistant,"{'paths': [['Anil Kapoor', '~starred_actors', 'Yuvvraaj']], 'render': 'Anil Kapoor starred in Yuvvraaj'}",5103,he is a famous bollywood actor and has starred in movies like anil kapoor and welcome .,['Anil Kapoor'],['Yuvvraaj'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O']",['starred_actors'],
1798,"['I was told that Craig Raine wrote poetry , do you   have any information on him ?', 'He is a poet who also happens to be an Atheist who writes novels as well .   He wrote Lolita .', 'Great . Do you have any information on Thomas M. Disch or any other poets .', 'Disch is from DesMoines , Iowa .   He was influenced by Samuel R. Delany and China Mielville .   Do you know either of them ?', ""I do n't know their writings . Did any of them write The Road to Little Dribbling ?"", 'That was written by Bill Bryson , who also wrote Notes from a Small Island and Big Country .']",Bill Bryson ? He also wrote One Summer America . Do you know if he has additional writings ?,user,"{'paths': [['Notes from a Small Island', 'written_by', 'Bill Bryson'], ['Bill Bryson', '~written_by', 'One Summer: America 1927']], 'render': 'Notes from a Small Island is written by Bill Bryson. Bill Bryson wrote One Summer: America 1927'}",4339,love ? he also wrote wayne rooney stephen king . do you know if he has additional writings ?,"['Stephen King', 'Wayne Rooney', 'Love']","['One', 'Bill Bryson', 'Summer America']","['U-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
4500,"['I like the movie Speed .   Do you have any recommendations for me ?', 'Speed starred Keanu Reeves . Would you like to hear more movies that he starred on ?', ""I 've seen that .   Is there anything else you can recommend ?"", 'He also starred in The Matrix Revisited . Do you like to hear more ?', 'That sounds great ! What else has he been in .']",Keanu also starred in Sweet November and The Day the Earth Stood Still .,assistant,"{'paths': [['Sweet November', 'starred_actors', 'Keanu Reeves']], 'render': 'Sweet November is starring Keanu Reeves'}",4806,sylvia also starred in caribbean one and the day the earth stood still .,"['one', 'Caribbean', 'Sylvia']","['November', 'Keanu', 'Sweet']","['U-HALLUC', 'O', 'O', 'O', 'U-HALLUC', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,
